fc_day	prc_stirn_fc	prc_wcx_fc	est_estradiol_fc	est_estradiol_fc_se	est_estradiol_fc_low	est_estradiol_fc_high	est_free_estradiol_fc	est_free_estradiol_fc_se	est_free_estradiol_fc_low	est_free_estradiol_fc_high	est_progesterone_fc	est_progesterone_fc_se	est_progesterone_fc_low	est_progesterone_fc_high	est_pbfw_fc	est_pbfw_fc_se	est_pbfw_fc_low	est_pbfw_fc_high	est_testosterone_fc	est_testosterone_fc_se	est_testosterone_fc_low	est_testosterone_fc_high	est_free_testosterone_fc	est_free_testosterone_fc_se	est_free_testosterone_fc_low	est_free_testosterone_fc_high
17	0.14	0.036	4.77	0.57	3.65	5.88	0.76	0.64	-0.51	1.97	8.25	0.8	6.68	9.85	0.23	0.24	-0.24	0.69	3.4	0.18	3.04	3.74	-0.81	0.21	-1.21	-0.4
18	0.1	0.028	4.79	0.57	3.7	5.9	0.77	0.63	-0.47	2.03	8.5	0.79	6.97	10.02	0.17	0.23	-0.28	0.63	3.36	0.18	3.01	3.71	-0.85	0.2	-1.24	-0.45
19	0.07	0.021	4.79	0.56	3.7	5.91	0.79	0.64	-0.45	2.03	8.73	0.8	7.14	10.32	0.12	0.24	-0.34	0.58	3.33	0.18	2.97	3.68	-0.89	0.2	-1.29	-0.5
20	0.06	0.016	4.75	0.57	3.64	5.85	0.75	0.65	-0.51	1.99	8.83	0.8	7.2	10.41	0.07	0.24	-0.39	0.54	3.29	0.18	2.94	3.64	-0.93	0.2	-1.34	-0.55
21	0.04	0.013	4.72	0.57	3.61	5.83	0.69	0.64	-0.57	1.96	8.84	0.81	7.21	10.37	0.03	0.24	-0.44	0.5	3.25	0.18	2.89	3.61	-0.97	0.2	-1.36	-0.58
22	0.03	0.01	4.67	0.56	3.59	5.78	0.64	0.65	-0.64	1.92	8.79	0.79	7.2	10.36	0.02	0.24	-0.44	0.5	3.23	0.18	2.88	3.58	-1.01	0.2	-1.4	-0.61
23	0.02	0.008	4.6	0.57	3.48	5.75	0.57	0.65	-0.69	1.84	8.71	0.8	7.12	10.27	0.01	0.24	-0.45	0.47	3.21	0.18	2.86	3.56	-1.03	0.2	-1.43	-0.64
24	0.01	0.007	4.55	0.58	3.39	5.7	0.5	0.63	-0.76	1.72	8.55	0.82	6.89	10.15	0.01	0.23	-0.45	0.46	3.19	0.18	2.83	3.56	-1.05	0.2	-1.45	-0.66
25	0.01	0.006	4.46	0.57	3.33	5.56	0.41	0.64	-0.85	1.66	8.42	0.81	6.81	9.98	0.02	0.24	-0.46	0.48	3.17	0.18	2.81	3.52	-1.06	0.2	-1.46	-0.68
26	0.01	0.005	4.37	0.58	3.23	5.48	0.31	0.64	-0.96	1.51	8.31	0.81	6.73	9.87	0.01	0.24	-0.45	0.47	3.16	0.18	2.82	3.5	-1.09	0.2	-1.47	-0.69
27	0.01	0.005	4.25	0.58	3.11	5.38	0.19	0.64	-1.05	1.45	8.2	0.81	6.63	9.78	0	0.24	-0.46	0.47	3.13	0.18	2.77	3.49	-1.11	0.2	-1.49	-0.72
28	0.01	0.005	4.15	0.57	3.01	5.26	0.08	0.63	-1.17	1.33	8.1	0.81	6.51	9.7	-0.01	0.24	-0.48	0.45	3.1	0.18	2.75	3.45	-1.14	0.2	-1.54	-0.76
29	0.01	0.005	4.03	0.58	2.87	5.16	-0.05	0.64	-1.3	1.2	7.92	0.81	6.37	9.48	-0.01	0.23	-0.47	0.45	3.07	0.18	2.71	3.42	-1.18	0.2	-1.58	-0.81
30	0.01	0.005	3.9	0.58	2.78	5.02	-0.19	0.66	-1.47	1.1	7.76	0.81	6.18	9.34	0	0.24	-0.47	0.46	3.03	0.18	2.66	3.38	-1.24	0.2	-1.63	-0.85
31	0.01	0.005	3.77	0.58	2.62	4.91	-0.3	0.66	-1.57	0.98	7.59	0.81	5.99	9.17	0	0.25	-0.49	0.48	2.98	0.19	2.62	3.36	-1.29	0.21	-1.69	-0.87
32	0.01	0.005	3.61	0.6	2.42	4.8	-0.45	0.67	-1.79	0.85	7.39	0.86	5.66	9.06	0.02	0.25	-0.45	0.51	2.93	0.19	2.55	3.3	-1.34	0.21	-1.76	-0.93
33	0.01	0.005	3.49	0.62	2.32	4.71	-0.61	0.7	-1.97	0.79	7.19	0.91	5.42	8.96	0.02	0.27	-0.51	0.53	2.88	0.2	2.5	3.28	-1.4	0.22	-1.84	-0.98
34	0.01	0.005	3.38	0.65	2.07	4.66	-0.76	0.73	-2.14	0.68	7.01	0.91	5.23	8.8	0.03	0.28	-0.53	0.56	2.83	0.2	2.43	3.23	-1.46	0.23	-1.91	-1.01
35	0.01	0.005	3.26	0.66	1.97	4.57	-0.88	0.76	-2.4	0.6	6.79	0.97	4.92	8.69	0.04	0.29	-0.54	0.61	2.78	0.22	2.35	3.21	-1.51	0.24	-1.98	-1.04
36	0.01	0.005	3.11	0.7	1.76	4.48	-1.02	0.78	-2.58	0.51	6.6	1.02	4.6	8.63	0.05	0.32	-0.58	0.67	2.74	0.23	2.3	3.17	-1.57	0.25	-2.07	-1.08
37	0.01	0.005	3	0.72	1.58	4.38	-1.17	0.81	-2.8	0.42	6.43	1.06	4.35	8.44	0.05	0.33	-0.59	0.68	2.69	0.23	2.22	3.12	-1.63	0.26	-2.15	-1.12
38	0.01	0.005	2.87	0.76	1.38	4.34	-1.31	0.87	-3.02	0.36	6.22	1.12	4.02	8.41	0.07	0.35	-0.6	0.76	2.64	0.25	2.15	3.12	-1.69	0.28	-2.24	-1.15
39	0.01	0.005	2.71	0.79	1.18	4.2	-1.45	0.89	-3.2	0.36	6.05	1.17	3.76	8.34	0.08	0.37	-0.65	0.82	2.59	0.26	2.07	3.1	-1.74	0.3	-2.34	-1.17
