bc_day	prc_stirn_bc	prc_wcx_bc	est_estradiol_bc	est_estradiol_bc_se	est_estradiol_bc_low	est_estradiol_bc_high	est_free_estradiol_bc	est_free_estradiol_bc_se	est_free_estradiol_bc_low	est_free_estradiol_bc_high	est_progesterone_bc	est_progesterone_bc_se	est_progesterone_bc_low	est_progesterone_bc_high	est_pbfw_bc	est_pbfw_bc_se	est_pbfw_bc_low	est_pbfw_bc_high	est_testosterone_bc	est_testosterone_bc_se	est_testosterone_bc_low	est_testosterone_bc_high	est_free_testosterone_bc	est_free_testosterone_bc_se	est_free_testosterone_bc_low	est_free_testosterone_bc_high
-14	0.38	0.073	4.87	0.49	3.93	5.85	0.88	0.55	-0.21	1.97	7.1	0.63	5.89	8.33	0.5	0.22	0.08	0.93	3.52	0.18	3.17	3.87	-0.65	0.2	-1.04	-0.25
-13	0.28	0.059	4.71	0.5	3.73	5.7	0.73	0.56	-0.35	1.85	7.53	0.62	6.3	8.72	0.42	0.21	0	0.83	3.51	0.18	3.16	3.86	-0.67	0.19	-1.04	-0.28
-12	0.2	0.047	4.61	0.49	3.64	5.58	0.6	0.56	-0.5	1.66	7.93	0.64	6.69	9.17	0.3	0.22	-0.13	0.73	3.48	0.18	3.12	3.81	-0.72	0.2	-1.1	-0.34
-11	0.14	0.036	4.57	0.5	3.56	5.53	0.54	0.55	-0.53	1.65	8.28	0.63	7.02	9.51	0.2	0.22	-0.24	0.6	3.42	0.18	3.08	3.76	-0.79	0.19	-1.16	-0.4
-10	0.1	0.028	4.63	0.5	3.63	5.61	0.59	0.55	-0.51	1.65	8.59	0.62	7.33	9.81	0.13	0.21	-0.29	0.57	3.36	0.18	3.02	3.73	-0.85	0.2	-1.23	-0.46
-9	0.07	0.021	4.74	0.5	3.76	5.74	0.69	0.55	-0.36	1.74	8.81	0.62	7.61	10.05	0.08	0.21	-0.34	0.5	3.31	0.17	2.96	3.65	-0.91	0.19	-1.28	-0.53
-8	0.06	0.016	4.88	0.49	3.92	5.86	0.86	0.57	-0.24	1.98	9.01	0.62	7.78	10.23	0.07	0.22	-0.36	0.5	3.27	0.18	2.93	3.62	-0.95	0.2	-1.34	-0.57
-7	0.04	0.013	4.97	0.49	4.02	5.92	0.98	0.55	-0.09	2.07	9.15	0.63	7.91	10.36	0.05	0.21	-0.37	0.47	3.26	0.18	2.91	3.59	-0.98	0.2	-1.37	-0.59
-6	0.03	0.01	4.99	0.49	4.02	5.93	0.99	0.55	-0.08	2.09	9.22	0.64	7.98	10.49	0.04	0.22	-0.39	0.48	3.25	0.17	2.91	3.59	-0.98	0.19	-1.37	-0.59
-5	0.02	0.008	4.91	0.5	3.94	5.9	0.89	0.56	-0.21	1.98	9.19	0.63	7.96	10.37	0.02	0.22	-0.41	0.46	3.25	0.18	2.91	3.59	-0.99	0.2	-1.37	-0.6
-4	0.01	0.007	4.71	0.5	3.74	5.7	0.7	0.55	-0.35	1.78	8.9	0.64	7.65	10.15	0.01	0.21	-0.41	0.42	3.23	0.18	2.88	3.58	-1.01	0.2	-1.39	-0.63
-3	0.01	0.006	4.46	0.49	3.5	5.4	0.41	0.56	-0.71	1.5	8.51	0.64	7.27	9.74	0	0.22	-0.44	0.42	3.19	0.18	2.85	3.53	-1.04	0.2	-1.43	-0.65
-2	0.01	0.005	4.12	0.5	3.13	5.09	0.04	0.55	-1.05	1.13	7.96	0.62	6.71	9.2	0	0.22	-0.41	0.43	3.14	0.17	2.78	3.47	-1.08	0.2	-1.46	-0.7
-1	0.01	0.005	3.77	0.49	2.81	4.76	-0.35	0.55	-1.44	0.75	7.34	0.63	6.09	8.58	0	0.21	-0.42	0.43	3.09	0.18	2.75	3.45	-1.15	0.2	-1.54	-0.76
